,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week,Dom_Profits,WW_Profits
785,2014-12-25,Unbroken,65000000,115637895,163527824,2014,52,50637895,98527824
786,2015-06-05,Spy!,65000000,110825712,232585748,2015,23,45825712,167585748
787,2010-11-05,Due Date,65000000,100539043,211739043,2010,44,35539043,146739043
788,2008-07-25,Step Brothers,65000000,100468793,128468793,2008,30,35468793,63468793
792,2014-12-19,Annie,65000000,85911262,139829625,2014,51,20911262,74829625
794,2016-08-12,Pete's Dragon,65000000,76233151,137768975,2016,32,11233151,72768975
796,2006-08-09,World Trade Center,65000000,70278893,163295654,2006,32,5278893,98295654
798,2003-12-19,Mona Lisa Smile,65000000,63803100,141205169,2003,51,-1196900,76205169
799,2012-05-16,The Dictator,65000000,59650222,180148897,2012,20,-5349778,115148897
801,2012-02-17,This Means War,65000000,54760791,156974557,2012,7,-10239209,91974557
802,2015-02-27,Focus,65000000,53862963,168065700,2015,9,-11137037,103065700
803,2004-12-08,Blade: Trinity,65000000,52397389,131353165,2004,50,-12602611,66353165
804,2012-11-21,Red Dawn,65000000,44806783,48164150,2012,47,-20193217,-16835850
805,2006-12-22,We Are Marshall,65000000,43545364,43545364,2006,51,-21454636,-21454636
806,2015-09-18,Everest,65000000,43482270,221297061,2015,38,-21517730,156297061
807,2012-09-14,Resident Evil: Retribution,65000000,42345531,240647629,2012,37,-22654469,175647629
810,2008-08-22,Death Race,65000000,36316032,72516819,2008,34,-28683968,7516819
813,2005-11-11,Zathura,65000000,28045540,58545540,2005,45,-36954460,-6454460
814,2003-11-26,The Missing,65000000,26900336,38253433,2003,48,-38099664,-26746567
815,2005-01-14,Elektra,65000000,24409722,56824633,2005,2,-40590278,-8175367
816,2009-10-23,Astro Boy,65000000,19551067,41636243,2009,43,-45448933,-23363757
817,2014-01-24,"I, Frankenstein",65000000,19075290,74575290,2014,4,-45924710,9575290
819,2014-08-22,Sin City: A Dame to Kill For,65000000,13757804,40650842,2014,34,-51242196,-24349158
820,2016-12-25,Live by Night,65000000,10378555,21774432,2016,51,-54621445,-43225568
822,2005-09-23,Oliver Twist,65000000,2070920,26670920,2005,38,-62929080,-38329080
823,2015-09-04,Tian jiang xiong shi,65000000,74070,122519874,2015,36,-64925930,57519874
824,2018-10-26,Air Strike,65000000,0,516279,2018,43,-65000000,-64483721
825,2006-07-14,Little Man,64000000,58636047,101636047,2006,28,-5363953,37636047
827,2006-12-27,Perfume: The Story of a Murderer,63700000,2223293,133603463,2006,52,-61476707,69903463
829,2002-07-25,Austin Powers in Goldmember,63000000,213117789,296338663,2002,30,150117789,233338663
830,2011-04-01,Hop,63000000,108085305,188657593,2011,13,45085305,125657593
831,2017-09-15,American Assassin,63000000,36249674,68310140,2017,37,-26750326,5310140
836,2015-12-25,The Hateful Eight,62000000,54117416,147864886,2015,52,-7882584,85864886
837,2008-06-20,The Love Guru,62000000,32235793,40159017,2008,25,-29764207,-21840983
838,2001-02-23,3000 Miles to Graceland,62000000,15738632,18708848,2001,8,-46261368,-43291152
839,2014-10-03,Gone Girl,61000000,167767189,368567189,2014,40,106767189,307567189
