,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week,Dom_Profits,WW_Profits,movie_name,genre,%ROI
105,2015-05-22,Tomorrowland,170000000,93436322,206627518,2015,21,-76563678,36627518,Tomorrowland,Adventure,-0.45037457647058826
106,2016-05-27,Alice Through the Looking Glass,170000000,77042381,276928112,2016,21,-92957619,106928112,Alice Through the Looking Glass,Adventure,-0.5468095235294118
107,2010-05-21,Shrek Forever After,165000000,238736787,756244673,2010,20,73736787,591244673,Shrek Forever After,Adventure,0.44688961818181816
108,2016-11-04,Doctor Strange,165000000,232641920,676404566,2016,44,67641920,511404566,Doctor Strange,Action,0.4099510303030303
109,2014-11-07,Big Hero 6,165000000,222527828,652127828,2014,45,57527828,487127828,Big Hero 6,Adventure,0.348653503030303
110,2010-03-26,How to Train Your Dragon,165000000,217581232,494870992,2010,12,52581232,329870992,How to Train Your Dragon,Adventure,0.31867413333333333
111,2012-11-02,Wreck-It Ralph,165000000,189412677,496511521,2012,44,24412677,331511521,Wreck-It Ralph,Adventure,0.14795561818181818
112,2014-11-05,Interstellar,165000000,188017894,665666799,2014,45,23017894,500666799,Interstellar,Adventure,0.13950238787878788
113,2016-06-24,Independence Day: Resurgence,165000000,103144286,384169424,2016,25,-61855714,219169424,Independence Day: Resurgence,Action,-0.3748831151515152
114,2011-07-29,Cowboys and Aliens,163000000,100368560,176038324,2011,30,-62631440,13038324,Cowboys and Aliens,Action,-0.38424196319018405
115,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,11,344014165,1099199706,Beauty and the Beast,Musical,2.15008853125
116,2018-12-21,Aquaman,160000000,335061807,1146894640,2018,51,175061807,986894640,Aquaman,Action,1.09413629375
117,2007-05-17,Shrek the Third,160000000,322719944,807330936,2007,20,162719944,647330936,Shrek the Third,Adventure,1.01699965
118,2010-07-16,Inception,160000000,292576195,835524642,2010,28,132576195,675524642,Inception,Thriller/Suspense,0.82860121875
119,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,2015,47,121723902,488986787,The Hunger Games: Mockingjay - Part 2,Thriller/Suspense,0.7607743875
120,2013-05-24,Fast and Furious 6,160000000,238679850,789300444,2013,21,78679850,629300444,Fast and Furious 6,Action,0.4917490625
121,2014-05-16,Godzilla,160000000,200676069,529076069,2014,20,40676069,369076069,Godzilla,Action,0.25422543125
122,2011-06-03,X-Men: First Class,160000000,146408305,355408305,2011,22,-13591695,195408305,X-Men: First Class,Action,-0.08494809375
123,2008-12-25,The Curious Case of Benjamin Button,160000000,127509326,329631958,2008,52,-32490674,169631958,The Curious Case of Benjamin Button,Drama,-0.2030667125
124,2010-07-14,The Sorcerer's Apprentice,160000000,63150991,217986320,2010,28,-96849009,57986320,The Sorcerer's Apprentice,Adventure,-0.60530630625
125,2006-05-12,Poseidon,160000000,60674817,181674817,2006,19,-99325183,21674817,Poseidon,Adventure,-0.62078239375
126,2016-06-10,Warcraft,160000000,47225655,425522281,2016,23,-112774345,265522281,Warcraft,Action,-0.70483965625
127,2016-09-30,Deepwater Horizon,156000000,61433527,122603824,2016,39,-94566473,-33396176,Deepwater Horizon,Drama,-0.6061953397435897
128,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,2010,49,-50613050,263186950,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,-0.3265358064516129
129,2015-07-01,Terminator: Genisys,155000000,89760956,432150894,2015,27,-65239044,277150894,Terminator: Genisys,Action,-0.4208970580645161
130,2018-03-23,Pacific Rim: Uprising,155000000,59874525,290930148,2018,12,-95125475,135930148,Pacific Rim: Uprising,Action,-0.6137127419354839
131,2017-07-14,War for the Planet of the Apes,152000000,146880162,489592267,2017,28,-5119838,337592267,War for the Planet of the Apes,Action,-0.033683144736842106
132,2007-07-02,Transformers,151000000,319246193,708272592,2007,27,168246193,557272592,Transformers,Action,1.1142131986754966
133,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,22,262563408,671133378,Wonder Woman,Action,1.75042272
134,2013-11-22,Frozen,150000000,400738009,1272469910,2013,47,250738009,1122469910,Frozen,Musical,1.6715867266666666
135,2016-03-04,Zootopia,150000000,341268248,1019429616,2016,9,191268248,869429616,Zootopia,Adventure,1.2751216533333334
136,2007-07-11,Harry Potter and the Order of the Phoenix,150000000,292137260,943076457,2007,28,142137260,793076457,Harry Potter and the Order of the Phoenix,Adventure,0.9475817333333333
137,2007-12-14,I am Legend,150000000,256393010,585532684,2007,50,106393010,435532684,I am Legend,Horror,0.7092867333333334
138,2016-11-23,Moana,150000000,248757044,637517365,2016,47,98757044,487517365,Moana,Musical,0.6583802933333334
139,2008-07-01,Hancock,150000000,227946274,624234272,2008,27,77946274,474234272,Hancock,Action,0.5196418266666667
140,2007-06-29,Ratatouille,150000000,206445654,626549695,2007,26,56445654,476549695,Ratatouille,Adventure,0.37630436
141,2013-11-08,Thor: The Dark World,150000000,206362140,644602516,2013,45,56362140,494602516,Thor: The Dark World,Action,0.3757476
142,2017-07-21,Dunkirk,150000000,190068280,499837368,2017,29,40068280,349837368,Dunkirk,Action,0.26712186666666665
143,2011-05-06,Thor,150000000,181030624,449326618,2011,18,31030624,299326618,Thor,Action,0.20687082666666667
144,2008-11-07,Madagascar: Escape 2 Africa,150000000,180174880,599680774,2008,45,30174880,449680774,Madagascar: Escape 2 Africa,Adventure,0.20116586666666667
145,2009-05-01,X-Men Origins: Wolverine,150000000,179883157,374825760,2009,18,29883157,224825760,X-Men Origins: Wolverine,Action,0.19922104666666668
146,2009-05-22,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063,2009,21,27243721,252231063,Night at the Museum: Battle of the Smithsonian,Adventure,0.18162480666666667
147,2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547,2011,21,15249063,514837547,Kung Fu Panda 2,Adventure,0.10166042
148,2015-05-15,Mad Max: Fury Road,150000000,153636354,370098020,2015,20,3636354,220098020,Mad Max: Fury Road,Action,0.02424236
149,2018-03-29,Ready Player One,150000000,137690172,579290136,2018,13,-12309828,429290136,Ready Player One,Adventure,-0.08206552
150,2009-05-15,Angels & Demons,150000000,133375846,490875846,2009,20,-16624154,340875846,Angels & Demons,Thriller/Suspense,-0.11082769333333334
151,2010-07-01,The Last Airbender,150000000,131772187,319713881,2010,26,-18227813,169713881,The Last Airbender,Adventure,-0.12151875333333333
152,2007-11-02,Bee Movie,150000000,126631277,287594577,2007,44,-23368723,137594577,Bee Movie,Adventure,-0.15579148666666667
153,2009-07-24,G-Force,150000000,119436770,292817841,2009,30,-30563230,142817841,G-Force,Adventure,-0.20375486666666667
154,2008-11-21,Bolt,150000000,114053579,328015029,2008,47,-35946421,178015029,Bolt,Adventure,-0.23964280666666668
155,2012-03-30,Wrath of the Titans,150000000,83670083,305270083,2012,13,-66329917,155270083,Wrath of the Titans,Adventure,-0.44219944666666666
156,2007-11-16,Beowulf,150000000,82280579,195080579,2007,46,-67719421,45080579,Beowulf,Adventure,-0.45146280666666666
157,2012-05-11,Dark Shadows,150000000,79727149,238202668,2012,19,-70272851,88202668,Dark Shadows,Black Comedy,-0.46848567333333335
158,2013-06-28,White House Down,150000000,73103784,205440387,2013,26,-76896216,55440387,White House Down,Thriller/Suspense,-0.51264144
159,2010-02-12,The Wolfman,150000000,62189884,142634358,2010,6,-87810116,-7365642,The Wolfman,Horror,-0.5854007733333333
160,2017-02-17,The Great Wall,150000000,45157105,334486852,2017,7,-104842895,184486852,The Great Wall,Action,-0.6989526333333334
161,2015-10-09,Pan,150000000,35088320,151525973,2015,41,-114911680,1525973,Pan,Adventure,-0.7660778666666667
162,2011-03-11,Mars Needs Moms,150000000,21392758,39549758,2011,10,-128607242,-110450242,Mars Needs Moms,Adventure,-0.8573816133333333
163,2006-11-03,Flushed Away,149000000,64665672,179357126,2006,44,-84334328,30357126,Flushed Away,Adventure,-0.5660022013422819
164,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,2012,23,71391482,601921271,Madagascar 3: Europe's Most Wanted,Adventure,0.4923550482758621
165,2014-06-13,How to Train Your Dragon 2,145000000,177002924,614586270,2014,24,32002924,469586270,How to Train Your Dragon 2,Adventure,0.22070982068965517
166,2014-03-07,Mr. Peabody & Sherman,145000000,111506430,269806430,2014,10,-33493570,124806430,Mr. Peabody & Sherman,Adventure,-0.23099013793103448
167,2012-11-21,Rise of the Guardians,145000000,103412758,306900902,2012,47,-41587242,161900902,Rise of the Guardians,Adventure,-0.2868085655172414
168,2016-07-15,Ghostbusters,144000000,128350574,229008658,2016,28,-15649426,85008658,Ghostbusters,Comedy,-0.10867656944444444
169,2009-05-08,Star Trek,140000000,257730019,386839614,2009,19,117730019,246839614,Star Trek,Adventure,0.8409287071428572
170,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,2011,29,36654505,230569776,Captain America: The First Avenger,Action,0.26181789285714285
171,2016-01-29,Kung Fu Panda 3,140000000,143528619,517599142,2016,4,3528619,377599142,Kung Fu Panda 3,Adventure,0.02520442142857143
172,2013-03-27,G.I. Joe: Retaliation,140000000,122523060,375740705,2013,13,-17476940,235740705,G.I. Joe: Retaliation,Action,-0.12483528571428572
173,2014-12-12,Exodus: Gods and Kings,140000000,65014513,268314513,2014,50,-74985487,128314513,Exodus: Gods and Kings,Drama,-0.5356106214285714
174,2016-07-01,The BFG,140000000,55483770,199646680,2016,26,-84516230,59646680,The BFG,Adventure,-0.6036873571428572
175,2016-02-26,Gods of Egypt,140000000,31153464,138836756,2016,8,-108846536,-1163244,Gods of Egypt,Adventure,-0.7774752571428571
176,2009-03-06,Watchmen,138000000,107509799,186976250,2009,10,-30490201,48976250,Watchmen,Action,-0.22094348550724638
177,2008-06-13,The Incredible Hulk,137500000,134806913,265573859,2008,24,-2693087,128073859,The Incredible Hulk,Adventure,-0.019586087272727273
178,2013-03-22,The Croods,135000000,187168425,573068425,2013,12,52168425,438068425,The Croods,Adventure,0.3864327777777778
179,2015-12-25,The Revenant,135000000,183637894,532938302,2015,52,48637894,397938302,The Revenant,Adventure,0.3602806962962963
180,2011-03-04,Rango,135000000,123477607,245724600,2011,9,-11522393,110724600,Rango,Adventure,-0.08535105925925926
181,2013-07-17,Turbo,135000000,83028130,286896578,2013,29,-51971870,151896578,Turbo,Adventure,-0.3849768148148148
182,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,2016,22,-52948399,110328374,Teenage Mutant Ninja Turtles: Out of the Shadows,Adventure,-0.39221036296296297
183,2011-11-18,Happy Feet Two,135000000,64006466,157956466,2011,46,-70993534,22956466,Happy Feet Two,Adventure,-0.5258780296296296
184,2006-07-28,Miami Vice,135000000,63478838,163818556,2006,30,-71521162,28818556,Miami Vice,Action,-0.5297863851851852
