	Release Date	Movie	Budget	Domestic Gross	Worldwide Gross	Year	Week	Dom_Profits	WW_Profits	movie_name	genre	%ROI	KEY	title - IMDb	runtime - m	genres - IMDb	directors	year - IMDb	cast	KEY - IMDb
677	2006-06-16	The Lake House	40000000	52330111	114830111	2006	24	12330111	74830111	The Lake House	Drama	30.8252775	The Lake House - 2006	The Lake House	99.0	drama, fantasy, romance	Alejandro Agresti	2006	Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach	The Lake House - 2006
678	2010-07-09	Predators	40000000	52000688	127234389	2010	27	12000688	87234389	Predators	Action	30.00172	Predators - 2010	Predators	107.0	action, adventure, sci-fi	Nimród Antal	2010	Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga	Predators - 2010
679	2012-08-15	The Odd Life of Timothy Green	40000000	51853450	55249159	2012	33	11853450	15249159	The Odd Life of Timothy Green	Drama	29.633625000000002	The Odd Life of Timothy Green - 2012	The Odd Life of Timothy Green	105.0	comedy, drama, family	Peter Hedges	2012	Jennifer Garner, Joel Edgerton, CJ Adams, Odeya Rush	The Odd Life of Timothy Green - 2012
680	2006-12-08	Apocalypto	40000000	50866635	121032272	2006	49	10866635	81032272	Apocalypto	Action	27.1665875	Apocalypto - 2006	Apocalypto	139.0	action, adventure, drama	Mel Gibson	2006	Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood	Apocalypto - 2006
681	2007-02-14	Music and Lyrics	40000000	50572589	146196885	2007	7	10572589	106196885	Music and Lyrics	Romantic Comedy	26.431472499999998	Music and Lyrics - 2007	Music and Lyrics	96.0	comedy, music, romance	Marc Lawrence	2007	Hugh Grant, Drew Barrymore, Scott Porter, Nick Bacon	Music and Lyrics - 2007
682	2014-06-20	Jersey Boys	40000000	47047013	65282732	2014	25	7047013	25282732	Jersey Boys	Drama	17.6175325	Jersey Boys - 2014	Jersey Boys	134.0	biography, drama, music	Clint Eastwood	2014	John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza	Jersey Boys - 2014
683	2008-05-02	Made of Honor	40000000	46012734	106548738	2008	18	6012734	66548738	Made of Honor	Romantic Comedy	15.031835	Made of Honor - 2008	Made of Honor	101.0	comedy, romance	Paul Weiland	2008	Patrick Dempsey, Michelle Monaghan, Kevin McKidd, Kadeem Hardison	Made of Honor - 2008
684	2011-08-12	Final Destination 5	40000000	42587643	155011165	2011	32	2587643	115011165	Final Destination 5	Horror	6.4691075	Final Destination 5 - 2011	Final Destination 5	92.0	horror	Steven Quale	2011	Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher	Final Destination 5 - 2011
685	2018-11-16	Widows	40000000	42402632	73866088	2018	46	2402632	33866088	Widows	Thriller/Suspense	6.0065800000000005	Widows - 2018	Widows	129.0	crime, drama, thriller	Steve McQueen	2018	Viola Davis, Michelle Rodriguez, Elizabeth Debicki	Widows - 2018
686	2014-07-18	Sex Tape	40000000	38543473	126069509	2014	29	-1456527	86069509	Sex Tape	Comedy	-3.6413175	Sex Tape - 2014	Sex Tape	94.0	comedy, romance	Jake Kasdan	2014	Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper	Sex Tape - 2014
687	2011-04-15	Scream 4	40000000	38180928	95989590	2011	15	-1819072	55989590	Scream 4	Horror	-4.547680000000001	Scream 4 - 2011	Scream 4	111.0	horror, mystery	Wes Craven	2011	Neve Campbell, Courteney Cox, David Arquette, Lucy Hale	Scream 4 - 2011
688	2011-03-18	Paul	40000000	37412945	101162106	2011	11	-2587055	61162106	Paul	Comedy	-6.4676374999999995	Paul - 2011	Paul	104.0	adventure, comedy, sci-fi	Greg Mottola	2011	Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard	Paul - 2011
689	2012-12-19	The Guilt Trip	40000000	37134215	41294674	2012	51	-2865785	1294674	The Guilt Trip	Comedy	-7.1644625	The Guilt Trip - 2012	The Guilt Trip	95.0	comedy, drama	Anne Fletcher	2012	Barbra Streisand, Seth Rogen, Julene Renee, Zabryna Guevara	The Guilt Trip - 2012
690	2011-08-26	Colombiana	40000000	36665854	72295262	2011	34	-3334146	32295262	Colombiana	Thriller/Suspense	-8.335365	Colombiana - 2011	Colombiana	108.0	action, drama, thriller	Olivier Megaton	2011	Zoe Saldana, Michael Vartan, Callum Blue, Jordi Mollà	Colombiana - 2011
691	2018-01-12	The Commuter	40000000	36343858	101985431	2018	2	-3656142	61985431	The Commuter	Action	-9.140355	The Commuter - 2018	The Commuter	105.0	action, mystery, thriller	Jaume Collet-Serra	2018	Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks	The Commuter - 2018
692	2011-04-08	Arthur	40000000	33035397	47787943	2011	14	-6964603	7787943	Arthur	Comedy	-17.4115075	Arthur - 2011	Arthur	110.0	comedy, romance	Jason Winer	2011	Russell Brand, Helen Mirren, Jennifer Garner, Greta Gerwig	Arthur - 2011
693	2008-03-21	Drillbit Taylor	40000000	32862104	49686263	2008	12	-7137896	9686263	Drillbit Taylor	Comedy	-17.84474	Drillbit Taylor - 2008	Drillbit Taylor	110.0	comedy, drama	Steven Brill	2008	Owen Wilson, Josh Peck, Alex Frost, Nate Hartley	Drillbit Taylor - 2008
694	2016-12-21	Patriots Day	40000000	31886361	52837989	2016	51	-8113639	12837989	Patriots Day	Thriller/Suspense	-20.2840975	Patriots Day - 2016	Patriots Day	133.0	action, crime, drama	Peter Berg	2016	Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman	Patriots Day - 2016
695	2008-11-26	Transporter 3	40000000	31715062	107235592	2008	48	-8284938	67235592	Transporter 3	Action	-20.712345	Transporter 3 - 2008	Transporter 3	104.0	action, thriller	Olivier Megaton	2008	Jason Statham, Robert Knepper, Natalya Rudakova, François Berléand	Transporter 3 - 2008
696	2010-11-10	Morning Glory	40000000	31011732	59795070	2010	45	-8988268	19795070	Morning Glory	Comedy	-22.470670000000002	Morning Glory - 2010	Morning Glory	107.0	comedy, drama, romance	Roger Michell	2010	Rachel McAdams, Harrison Ford, Diane Keaton, Noah Bean	Morning Glory - 2010
697	2013-12-25	Grudge Match	40000000	29807260	69807260	2013	52	-10192740	29807260	Grudge Match	Comedy	-25.48185	Grudge Match - 2013	Grudge Match	113.0	comedy, drama, sport	Peter Segal	2013	Robert De Niro, Sylvester Stallone, Kim Basinger, Alan Arkin	Grudge Match - 2013
698	2017-08-11	The Nut Job 2: Nutty by Nature	40000000	28370522	57438389	2017	32	-11629478	17438389	The Nut Job 2: Nutty by Nature	Adventure	-29.073695	The Nut Job 2: Nutty by Nature - 2017	The Nut Job 2: Nutty by Nature	91.0	adventure, animation, comedy	Cal Brunker	2017	Will Arnett, Maya Rudolph, Bobby Cannavale, Bobby Moynihan	The Nut Job 2: Nutty by Nature - 2017
699	2008-02-29	The Other Boleyn Girl	40000000	26814957	78269970	2008	9	-13185043	38269970	The Other Boleyn Girl	Drama	-32.962607500000004	The Other Boleyn Girl - 2008	The Other Boleyn Girl	115.0	biography, drama, history	Justin Chadwick	2008	Natalie Portman, Scarlett Johansson, Eric Bana, Jim Sturgess	The Other Boleyn Girl - 2008
700	2017-06-30	The House	40000000	25584504	31192425	2017	26	-14415496	-8807575	The House	Comedy	-36.038740000000004	The House - 2017	The House	88.0	comedy, crime	Andrew Jay Cohen	2017	Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas	The House - 2017
701	2007-04-05	The Reaping	40000000	25126214	62226214	2007	14	-14873786	22226214	The Reaping	Horror	-37.184465	The Reaping - 2007	The Reaping	99.0	horror, thriller	Stephen Hopkins	2007	Hilary Swank, David Morrissey, AnnaSophia Robb, Idris Elba	The Reaping - 2007
702	2011-01-07	Season of the Witch	40000000	24827228	91126600	2011	1	-15172772	51126600	Season of the Witch	Thriller/Suspense	-37.931929999999994	Season of the Witch - 2011	Season of the Witch	95.0	action, adventure, fantasy	Dominic Sena	2011	Nicolas Cage, Ron Perlman, Claire Foy, Stephen Campbell Moore	Season of the Witch - 2011
703	2016-08-26	Mechanic: Resurrection	40000000	21218403	109738840	2016	34	-18781597	69738840	Mechanic: Resurrection	Action	-46.953992500000005	Mechanic: Resurrection - 2016	Mechanic: Resurrection	98.0	action, adventure, thriller	Dennis Gansel	2016	Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh	Mechanic: Resurrection - 2016
704	2009-11-13	Fantastic Mr. Fox	40000000	21002919	47083412	2009	46	-18997081	7083412	Fantastic Mr. Fox	Adventure	-47.4927025	Fantastic Mr. Fox - 2009	Fantastic Mr. Fox	87.0	adventure, animation, comedy	Wes Anderson	2009	George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman	Fantastic Mr. Fox - 2009
705	2012-02-03	Big Miracle	40000000	20157300	25268680	2012	5	-19842700	-14731320	Big Miracle	Drama	-49.60675	Big Miracle - 2012	Big Miracle	107.0	biography, drama, family	Ken Kwapis	2012	Drew Barrymore, John Krasinski, John Pingayak, Ahmaogak Sweeney	Big Miracle - 2012
